natural_language_query,sql_query
Find courses are second year courses,SELECT * FROM complete_courses WHERE year = '2nd';
List courses are full year courses,SELECT * FROM complete_courses WHERE units >= 1.0;
tell me about first year courses,SELECT * FROM complete_courses WHERE year = '1st';
tell me about full year courses,SELECT * FROM complete_courses WHERE units >= 1.0;
find fourth year courses without any prerequisites,SELECT * FROM complete_courses WHERE year = '4th' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
What courses are third year courses?,SELECT * FROM complete_courses WHERE year = '3rd';
give me courses in first year,SELECT * FROM complete_courses WHERE year = '1st';
Can you tell me which courses are second year courses?,SELECT * FROM complete_courses WHERE year = '2nd';
give me second year courses with no prerequisites,SELECT * FROM complete_courses WHERE year = '2nd' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
which second year courses,SELECT * FROM complete_courses WHERE year = '2nd';
What are the courses have no prerequisites?,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
I want to see second year courses with no prerequisites,SELECT * FROM complete_courses WHERE year = '2nd' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
I need second year courses,SELECT * FROM complete_courses WHERE year = '2nd';
please list courses worth at least 1 unit,SELECT * FROM complete_courses WHERE units >= 1.0;
retrieve third year courses with no prerequisites,SELECT * FROM complete_courses WHERE year = '3rd' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
can you show first year courses,SELECT * FROM complete_courses WHERE year = '1st';
please list first year courses,SELECT * FROM complete_courses WHERE year = '1st';
could you find second year courses with no prerequisites,SELECT * FROM complete_courses WHERE year = '2nd' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
I need all second year courses,SELECT * FROM complete_courses WHERE year = '2nd';
retrieve first year courses,SELECT * FROM complete_courses WHERE year = '1st';
tell me about all third year courses,SELECT * FROM complete_courses WHERE year = '3rd';
tell me about third year courses without any prerequisites,SELECT * FROM complete_courses WHERE year = '3rd' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
can you show courses with no prerequisite requirements,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
fetch all third year courses,SELECT * FROM complete_courses WHERE year = '3rd';
query for courses worth at least 1 unit,SELECT * FROM complete_courses WHERE units >= 1.0;
list all courses without any prerequisites,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
find third year courses with no prerequisites,SELECT * FROM complete_courses WHERE year = '3rd' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
list all courses that don't have prerequisites,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
What courses are full year courses?,SELECT * FROM complete_courses WHERE units >= 1.0;
find all courses that don't have prerequisites,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
query for courses that don't have prerequisites,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
which first year courses,SELECT * FROM complete_courses WHERE year = '1st';
tell me about all first year courses,SELECT * FROM complete_courses WHERE year = '1st';
display courses that don't have prerequisites,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
what are the courses worth at least 1 unit,SELECT * FROM complete_courses WHERE units >= 1.0;
fetch courses in third year,SELECT * FROM complete_courses WHERE year = '3rd';
could you find fourth year courses without any prerequisites,SELECT * FROM complete_courses WHERE year = '4th' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
get me second year courses,SELECT * FROM complete_courses WHERE year = '2nd';
could you find first year courses without any prerequisites,SELECT * FROM complete_courses WHERE year = '1st' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
I want to see all third year courses,SELECT * FROM complete_courses WHERE year = '3rd';
look up first year courses without any prerequisites,SELECT * FROM complete_courses WHERE year = '1st' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
What are the courses are full year courses?,SELECT * FROM complete_courses WHERE units >= 1.0;
get me all first year courses,SELECT * FROM complete_courses WHERE year = '1st';
give me fourth year courses with no prerequisites,SELECT * FROM complete_courses WHERE year = '4th' AND (prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '');
which courses with no prerequisite requirements,SELECT * FROM complete_courses WHERE prereq_codes = '[]' OR prereq_codes IS NULL OR prereq_codes = '';
display fourth year courses,SELECT * FROM complete_courses WHERE year = '4th';
search for all first year courses,SELECT * FROM complete_courses WHERE year = '1st';
